"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rrm2b",0.00276100277400437,1.70101168534271,0.256,0.117,1,"8","Rrm2b"
"Ppie",0.00279503079919817,1.29617310523767,0.302,0.152,1,"8","Ppie"
"Irak11",0.00283085612805144,1.17034935131811,0.442,0.272,1,"8","Irak1"
"Uqcc22",0.00285123560343561,0.596320491132754,0.674,0.488,1,"8","Uqcc2"
"Fnbp1l1",0.0028534789317459,1.46530690425531,0.256,0.117,1,"8","Fnbp1l"
"Bola33",0.00285573473874267,0.944360030686621,0.442,0.284,1,"8","Bola3"
"Rere1",0.00287259051918832,1.33021717809985,0.419,0.261,1,"8","Rere"
"Zfp5032",0.00288430044228369,0.931337219713716,0.512,0.349,1,"8","Zfp503"
"Sucla22",0.0028910775266789,1.05627961772724,0.372,0.207,1,"8","Sucla2"
"Hint24",0.00289619327728275,1.3171154797951,0.349,0.193,1,"8","Hint2"
"Myh93",0.00296188892329396,0.646030052098786,0.791,0.648,1,"8","Myh9"
"Fendrr2",0.00297845846624329,1.61209760260535,0.326,0.17,1,"8","Fendrr"
"Ubxn7",0.0031222194974404,1.12187923793918,0.302,0.15,1,"8","Ubxn7"
"Tnrc6c2",0.0031255060596975,0.685736184068428,0.605,0.438,1,"8","Tnrc6c"
"Prrc2b",0.0031264626686524,0.923367750678025,0.581,0.491,1,"8","Prrc2b"
"Dclk12",0.00317036298978853,1.30623057448177,0.535,0.403,1,"8","Dclk1"
"G3bp21",0.00318083144205025,0.952225086466142,0.488,0.338,1,"8","G3bp2"
"Pgam12",0.00318487516307923,1.14527074064114,0.581,0.429,1,"8","Pgam1"
"Paip21",0.00321201056059223,0.785572969879185,0.674,0.552,1,"8","Paip2"
"Ndufv34",0.00324073041016767,0.865141425724438,0.674,0.566,1,"8","Ndufv3"
"Aopep2",0.00329377675600635,1.16404704524921,0.326,0.163,1,"8","Aopep"
"Rab3gap11",0.00332703582071685,1.52151989060806,0.302,0.156,1,"8","Rab3gap1"
"Tpi14",0.00342172902790795,1.03742330718614,0.628,0.519,1,"8","Tpi1"
"Mysm11",0.00344591741256988,0.898237751668899,0.372,0.202,1,"8","Mysm1"
"Klhl22",0.00345142743319279,1.33648145541411,0.256,0.117,1,"8","Klhl22"
"Aldh22",0.0034580696788993,0.59894752598717,0.907,0.799,1,"8","Aldh2"
"Tmem2232",0.00347626695991343,0.863258200842988,0.419,0.249,1,"8","Tmem223"
"Zranb22",0.00355693734279206,0.94844050356367,0.488,0.33,1,"8","Zranb2"
"Zfp6381",0.00357041677173263,0.980705305498875,0.488,0.319,1,"8","Zfp638"
"Ccdc1271",0.00361123218942432,1.06680765651646,0.465,0.313,1,"8","Ccdc127"
"Atp5h3",0.00361445111178605,0.580063163250761,0.93,0.776,1,"8","Atp5h"
"Mtln1",0.00367680248610812,1.19353608102658,0.372,0.21,1,"8","Mtln"
"Hdac51",0.00369617920454134,1.45349959219194,0.302,0.16,1,"8","Hdac5"
"Hnrnpa2b12",0.00375181751855758,0.412643659924631,0.86,0.791,1,"8","Hnrnpa2b1"
"Col27a12",0.00376804329070812,1.7864790619757,0.302,0.155,1,"8","Col27a1"
"Mllt6",0.00376876941840785,1.15264588842015,0.302,0.155,1,"8","Mllt6"
"Pik3ca1",0.00380326315967993,1.03304866180859,0.395,0.236,1,"8","Pik3ca"
"Uaca",0.00380865186680198,1.4551543162774,0.326,0.176,1,"8","Uaca"
"Snrnp271",0.00386319081588856,1.12091903716622,0.558,0.411,1,"8","Snrnp27"
"Aak11",0.00387957714422243,1.0026914627923,0.395,0.226,1,"8","Aak1"
